wp_count,total_distance_m,avg_distance_m,max_distance_m,avg_bearing_change,max_bearing_change,avg_altitude_m,start_lat,start_lng,end_lat,end_lng,centroid_lat,centroid_lng,route_id,start_place,end_place,centroid_place
30,567.0,19.55,38.02,24.43,66.97,20.0,37.34375714369783,126.9537118016799,37.34379681456096,126.95330766396046,37.34412,126.953905,210101-WP-30,대한민국 경기도 군포시 이당로 30,대한민국 경기도 군포시 이당로 30,대한민국 경기도 군포시 이당로 30
903,5955.08,6.6,22.26,14.65,180.0,20.0,37.34338539025792,126.95382255581671,37.34406099659782,126.95325132327996,37.343502,126.953844,210101-WP-903,대한민국 경기도 군포시 이당로 30,대한민국 경기도 군포시 이당로 30,대한민국 경기도 군포시 이당로 30
14,453.11,34.85,58.39,90.0,90.88,10.71,37.40642194389187,126.63340164382318,37.4061612561738,126.63417090636835,37.406292,126.633786,210111-operationtest,대한민국 인천광역시 연수구 센트럴로,대한민국 인천광역시 연수구 센트럴로,대한민국 인천광역시 연수구 센트럴로
14,704.03,54.16,105.66,90.0,138.97,20.0,37.40655093008969,126.63317131463268,37.40603477190796,126.63417552542988,37.406322,126.633673,210115-operator0115,대한민국 인천광역시 연수구 센트럴로,대한민국 인천광역시 연수구 센트럴로,대한민국 인천광역시 연수구 센트럴로
28,5926.02,219.48,398.84,90.0,153.74,103.57,37.38863662537401,126.64184579020788,37.39623379130226,126.63323464854544,37.393244,126.638128,210120-Parkservey22,대한민국 인천광역시 연수구 13,대한민국 인천광역시 연수구 아트센터대로 175,대한민국 인천광역시 연수구 테크노파크로 200
64,27878.66,442.52,870.19,5.67,8.44,100.0,37.50255243117726,126.43529470617956,37.50255243117726,126.43529470617956,37.462816,126.44015,210120-airportcircle,대한민국 인천광역시 영종해안북로,대한민국 인천광역시 영종해안북로,대한민국 인천광역시 중구 제2터미널대로 446
65,12624.2,197.25,197.25,5.62,5.63,100.0,37.40643131064021,126.63903996584428,37.40643131064021,126.63903996584428,37.388632,126.63904,210120-songdoCircle,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 컨벤시아대로 204
18,6578.18,386.95,1012.09,90.0,159.48,100.0,37.38811030197867,126.6483437510441,37.38105797393304,126.65531080763792,37.384532,126.652201,210121-TechnoPark,대한민국 인천광역시 연수구 하모니로,대한민국 인천광역시 연수구 송도국제대로 165,대한민국 인천광역시 연수구 갯벌로145번길
64,13681.89,217.17,427.06,5.67,8.44,200.0,37.40356125743877,126.64545730628606,37.40356125743877,126.64545730628606,37.384061,126.647837,210121-songdo3,대한민국 인천광역시 연수구 컨벤시아대로42번길 80,대한민국 인천광역시 연수구 컨벤시아대로42번길 80,대한민국 인천광역시 연수구 테크노파크로
64,14055.63,223.11,438.73,5.67,8.44,100.78,37.40564489215147,126.64671698549364,37.40564489215147,126.64671698549364,37.385612,126.649162,210121-songdoCircle2,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 갯벌로 156
64,16333.62,259.26,509.83,5.67,8.44,300.0,37.4075009390258,126.6452740025517,37.4075009390258,126.6452740025517,37.384221,126.648115,210121-songdoCircle5,대한민국 인천광역시 연수구 아트센터대로,대한민국 인천광역시 연수구 아트센터대로,대한민국 인천광역시 연수구 테크노파크로
64,9452.24,150.04,295.04,5.67,8.44,300.0,37.401669860056614,126.64389214146856,37.401669860056614,126.64389214146856,37.388198,126.645536,210121-songdoCircle6,대한민국 인천광역시 연수구 신송로,대한민국 인천광역시 연수구 신송로,대한민국 인천광역시 연수구 센트럴로 123
10,2522.46,280.27,445.34,90.0,91.68,195.0,37.42938409498157,126.6825161404246,37.43169099658793,126.6877340601576,37.430538,126.685125,210122-Mtest2,대한민국 인천광역시 연수구 함박안로 148,대한민국 인천광역시 연수구 제2경인고속도로,대한민국 인천광역시 미추홀구 함박안로
26,5474.46,218.98,391.63,90.0,110.39,100.0,37.38908858952115,126.64099015925996,37.39739507339678,126.63501571653404,37.393318,126.638083,210122-Parkservey,대한민국 인천광역시 연수구 테크노파크로 151,대한민국 인천광역시 연수구 아트센터대로 149,대한민국 인천광역시 연수구 테크노파크로 200
8,117.08,16.73,31.77,90.0,149.82,15.0,37.40749277563561,126.6333963850031,37.40741509196966,126.63364744413305,37.407513,126.633522,210129-TestA,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 인천대교고속도로
6,107.02,21.4,25.12,57.35,91.44,20.0,37.40708755376846,126.63339324345424,37.40711253953802,126.63370007791956,37.40725,126.633652,210202-DJITest3,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 인천대교고속도로
17,79729.68,4983.1,14187.97,46.42,100.68,150.0,36.95895250506254,126.79299751733528,36.834678513345395,126.17880874046818,36.960065,126.405383,210208-search,대한민국 충청남도 당진시 부곡공단로,대한민국 충청남도 태안군 신두해변길,대한민국 충청남도 서산시 몰이산길
21,79517.31,3975.87,9415.12,39.34,96.36,150.0,36.95070549800086,126.79431636317209,36.84383154351367,126.18898761005056,36.977183,126.461402,210208-search2,대한민국 충청남도 당진시 부곡공단로,대한민국 충청남도 태안군 신두해변길,대한민국 충청남도 서산시 14
30,82370.56,2840.36,6700.52,39.77,110.74,150.0,36.94823412222236,126.7942788717562,36.853606075802446,126.20069781905404,36.981135,126.445524,210208-search3,대한민국 충청남도 당진시 부곡공단로,대한민국 충청남도 태안군 원북면,대한민국 충청남도 서산시 삼길포7로
6,149.32,29.86,34.74,91.73,96.48,10.0,37.40517153883205,126.75262130711064,37.404656991698786,126.75239959099372,37.404916,126.752496,210209-M210T,대한민국 경기도 시흥시 서해안로,대한민국 경기도 시흥시 서해안로,대한민국 경기도 시흥시 서해안로
6,128.19,25.64,35.97,89.21,96.97,20.0,37.4049986573513,126.75262708412735,37.40465864205497,126.7525157712463,37.404831,126.752564,210209-phantomT,대한민국 경기도 시흥시 서해안로,대한민국 경기도 시흥시 서해안로,대한민국 경기도 시흥시 서해안로
8,103.66,14.81,21.35,90.23,95.31,10.0,37.40510752547647,126.75260519713322,37.40494680820582,126.75269920223582,37.404996,126.752542,210209-phanton2,대한민국 경기도 시흥시 서해안로,대한민국 경기도 시흥시 서해안로,대한민국 경기도 시흥시 서해안로
8,142.26,20.32,39.68,101.92,146.54,20.0,37.4070960936084,126.63347037166828,37.407491090873144,126.63361331455675,37.407286,126.633558,210216-M210DVST2,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 인천대교고속도로
7,75.16,12.53,18.72,40.49,147.33,20.0,37.40674220245796,126.633584619982,37.40624633177819,126.63381053404817,37.40645,126.633752,210223-M201_same,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 센트럴로,대한민국 인천광역시 연수구 인천대교고속도로
6,88.24,17.65,20.1,48.84,132.42,20.0,37.406630546651826,126.63344702735333,37.40644212853323,126.63335388187596,37.406376,126.633423,210223-PIX2_1,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 센트럴로,대한민국 인천광역시 연수구 센트럴로
8,66.73,9.53,11.89,85.73,90.63,20.0,37.40663543712711,126.63345520098136,37.40640185861143,126.63357226229,37.406505,126.633456,210224-LTE_same,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 센트럴로,대한민국 인천광역시 연수구 센트럴로
10,85.38,9.49,11.9,89.75,98.06,20.0,37.40673304347503,126.63375445315124,37.40655898759515,126.6340841672348,37.406646,126.633923,210224-M210_same,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 인천대교고속도로
9,68.37,8.55,10.95,90.67,98.65,20.0,37.40670023935722,126.63362570666618,37.406488828992366,126.6337824527766,37.406569,126.633672,210224-Phantom_same,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 인천대교고속도로,대한민국 인천광역시 연수구 인천대교고속도로
9,38.92,4.87,6.57,89.36,103.01,20.0,37.41715755439276,126.61014244137652,37.41716918736576,126.6104184930436,37.417149,126.61029,210225-LTE_001,대한민국 인천광역시 연수구 국제항만대로,대한민국 인천광역시 연수구 국제항만대로,대한민국 인천광역시 연수구 국제항만대로
11,86.0,8.6,10.96,91.18,108.48,20.0,37.41716106529364,126.61012307619342,37.41708761934521,126.61058162103336,37.417132,126.61038,210225-LTE_002,대한민국 인천광역시 연수구 국제항만대로,대한민국 인천광역시 연수구 국제항만대로,대한민국 인천광역시 연수구 국제항만대로
11,55.89,5.59,8.23,88.61,108.69,20.0,37.417455714903326,126.61017982119876,37.41751470771948,126.61045136612756,37.417474,126.610314,210225-M210_001,대한민국 인천광역시 연수구 국제항만대로,대한민국 인천광역시 연수구 국제항만대로,대한민국 인천광역시 연수구 국제항만대로
